event_date
2010-03-15
2010-06-16
2010-07-14
2010-08-21
2010-09-23
2011-05-30
2011-06-13
2011-08-27
2011-09-04
2011-11-19
2012-06-22
2012-09-30
2013-09-16
2014-08-09
2014-08-10
2014-10-13
2015-03-19
2015-07-01
2015-07-03
2015-07-17
2015-07-18
2015-09-09
2015-09-10
2015-10-02
2016-06-21
2016-07-09
2016-08-29
2016-09-20
2017-07-09
2017-08-07
2017-09-12
2017-10-22
2017-10-23
2018-05-13
2018-07-06
2018-07-07
2018-07-29
2018-09-01
2019-05-21
2019-06-07
2019-08-15
2019-08-16
2019-08-19
2019-08-30
2019-10-12
2020-05-19
2020-06-19
2020-07-08
2020-07-25
2020-08-22
2020-08-29
2020-10-10
2021-04-29
2021-07-01
2021-07-02
2021-08-12
2021-08-13
2021-08-14
2021-08-18
2022-05-12
2022-05-13
2022-05-14
2022-06-22
2022-08-06
2022-08-21
2022-09-02
2022-09-03
2022-09-04
2022-09-08
2023-06-02
2024-06-18
2024-06-21
2024-06-28
2024-06-29
2024-07-12
2024-11-02
2025-05-02
2025-05-24
2025-06-03
2025-06-10
2025-06-11
2025-06-24
2025-06-26
2025-07-17
2025-09-05
